Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29, Death_30, Death_31, Death_32, Death_33, Death_34, Death_35, Death_36, Death_37, Death_38, Death_39, Death_40, Death_41, Death_42, Death_43, Death_44, Death_45, Death_46, Death_47, Death_48, Death_49, Death_50, Death_51, Death_52, Death_53, Death_54, Death_55, Death_56, Death_57, Death_58, Death_59, Death_60, Death_61, Death_62, Death_63, Death_64, Death_65, Death_66, Death_67, Death_68, Death_69, Death_70, Death_71, Death_72, Death_73, Death_74, Death_75, Death_76, Death_77, Death_78, Death_79
498, 34, 37, 35, 52, 43, 44, 38, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 25, 35, 43, 39, 38, 45, 44, 43, 38, 36, 33, 54, 42, 44, 39, 32, 35, 50, 44, 33, 35, 32, 44, 29, 33, 45, 40, 32, 36, 31, 45, 45, 44, 38, 48, 43, 31, 32, 30, 42, 39, 54, 44, 43, 35, 43, 35, 30, 36, 47, 33, 45, 35, 37, 43, 38, 41, 47, 39, 36, 38, 37, 40
499, 34, 37, 35, 52, 43, 44, 38, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 45, 43, 38, 37, 33, 54, 42, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 29, 33, 46, 40, 32, 36, 31, 45, 45, 44, 38, 48, 43, 31, 32, 30, 42, 39, 54, 44, 43, 35, 43, 35, 30, 37, 47, 33, 45, 35, 37, 43, 38, 41, 47, 39, 36, 38, 37, 40
500, 34, 37, 35, 52, 44, 44, 38, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 45, 43, 38, 37, 33, 54, 42, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 29, 33, 46, 40, 32, 36, 31, 45, 45, 44, 38, 48, 43, 31, 32, 30, 42, 39, 54, 44, 43, 35, 43, 35, 30, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 40
501, 34, 37, 35, 52, 44, 44, 38, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 45, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 29, 33, 46, 40, 32, 36, 31, 45, 45, 44, 38, 48, 43, 31, 32, 30, 42, 39, 54, 44, 43, 35, 43, 35, 30, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 40
502, 34, 37, 35, 52, 44, 44, 39, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 47, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 31, 33, 46, 40, 32, 36, 31, 45, 46, 44, 38, 49, 43, 31, 33, 30, 42, 39, 54, 44, 43, 35, 43, 35, 30, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 40
503, 35, 37, 35, 52, 44, 44, 40, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 47, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 32, 33, 46, 40, 32, 36, 31, 45, 46, 44, 38, 50, 43, 31, 33, 30, 42, 39, 54, 44, 43, 35, 43, 35, 31, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 40
504, 35, 37, 35, 52, 44, 44, 40, 56, 22, 41, 39, 23, 35, 37, 28, 37, 39, 26, 35, 43, 39, 38, 46, 47, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 44, 32, 33, 46, 40, 33, 36, 31, 45, 46, 44, 38, 50, 43, 31, 33, 30, 42, 39, 55, 44, 43, 35, 43, 35, 31, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
505, 36, 37, 35, 52, 44, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 37, 39, 26, 35, 43, 39, 38, 46, 47, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 45, 32, 33, 46, 40, 33, 36, 31, 45, 46, 44, 38, 50, 43, 31, 33, 30, 42, 39, 56, 44, 43, 35, 43, 35, 31, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
506, 38, 37, 35, 52, 44, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 37, 39, 26, 35, 43, 39, 38, 46, 48, 43, 38, 37, 33, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 45, 32, 34, 46, 40, 33, 36, 31, 45, 46, 44, 38, 50, 44, 31, 34, 30, 42, 39, 57, 44, 43, 35, 43, 35, 31, 37, 47, 33, 45, 35, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
507, 39, 37, 35, 52, 44, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 37, 39, 26, 35, 43, 39, 38, 46, 48, 43, 38, 37, 34, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 45, 32, 35, 46, 40, 33, 36, 32, 45, 47, 45, 38, 50, 44, 31, 35, 30, 42, 39, 58, 44, 43, 35, 43, 35, 31, 37, 47, 33, 45, 36, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
508, 41, 37, 35, 52, 45, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 37, 39, 26, 35, 43, 40, 38, 46, 48, 43, 38, 37, 34, 55, 43, 44, 39, 32, 36, 50, 44, 33, 35, 32, 45, 33, 35, 46, 40, 33, 36, 33, 45, 47, 45, 38, 50, 45, 31, 35, 30, 43, 39, 58, 44, 43, 35, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
509, 41, 37, 35, 52, 45, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 37, 39, 26, 35, 43, 40, 38, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 33, 35, 46, 40, 33, 36, 33, 45, 47, 45, 38, 51, 45, 31, 35, 30, 43, 39, 58, 44, 43, 35, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
510, 41, 37, 35, 52, 45, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 43, 40, 39, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 33, 35, 46, 40, 33, 36, 33, 45, 47, 46, 38, 51, 45, 31, 35, 30, 43, 39, 58, 44, 43, 35, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 47, 39, 36, 38, 37, 41
511, 42, 37, 35, 52, 45, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 44, 41, 39, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 35, 46, 40, 33, 36, 33, 45, 47, 47, 38, 51, 45, 31, 35, 30, 43, 39, 58, 44, 43, 36, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 48, 39, 36, 38, 37, 41
512, 43, 37, 35, 52, 45, 44, 40, 56, 22, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 44, 41, 39, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 46, 40, 33, 36, 33, 45, 47, 48, 38, 51, 45, 31, 35, 30, 43, 39, 59, 44, 43, 36, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 48, 39, 36, 38, 37, 41
513, 45, 37, 35, 52, 45, 44, 40, 56, 23, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 44, 42, 39, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 47, 40, 33, 36, 33, 45, 47, 48, 38, 51, 45, 32, 35, 30, 43, 39, 60, 44, 43, 38, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 48, 39, 36, 38, 37, 41
514, 45, 37, 35, 52, 45, 44, 40, 56, 23, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 44, 42, 39, 46, 48, 43, 38, 37, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 47, 40, 33, 36, 33, 45, 47, 49, 38, 51, 45, 32, 35, 30, 43, 39, 60, 44, 43, 38, 43, 35, 31, 38, 47, 33, 45, 37, 37, 44, 38, 41, 48, 39, 36, 38, 37, 41
515, 45, 37, 35, 52, 45, 44, 40, 56, 23, 41, 40, 23, 35, 39, 28, 38, 39, 26, 35, 44, 43, 39, 46, 48, 43, 38, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 47, 40, 33, 36, 34, 45, 48, 50, 38, 51, 45, 33, 35, 30, 43, 39, 60, 44, 43, 38, 43, 35, 31, 38, 47, 34, 45, 38, 37, 45, 38, 42, 48, 39, 36, 38, 37, 41
516, 45, 37, 35, 53, 45, 44, 40, 56, 23, 41, 40, 23, 35, 40, 28, 38, 39, 26, 36, 44, 43, 39, 46, 48, 43, 38, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 47, 40, 33, 36, 34, 45, 48, 50, 38, 51, 45, 33, 35, 30, 43, 39, 62, 44, 43, 38, 43, 35, 31, 38, 47, 34, 45, 38, 37, 45, 38, 42, 48, 40, 36, 38, 37, 41
517, 45, 37, 35, 53, 45, 44, 40, 56, 23, 41, 40, 23, 35, 40, 29, 38, 39, 26, 36, 44, 43, 39, 46, 48, 43, 38, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 48, 40, 33, 36, 34, 45, 48, 50, 38, 51, 45, 33, 35, 30, 43, 39, 63, 44, 43, 38, 43, 35, 31, 38, 47, 34, 45, 38, 37, 45, 38, 42, 48, 40, 36, 38, 37, 41
518, 46, 37, 35, 54, 45, 44, 40, 56, 23, 41, 40, 23, 35, 40, 29, 38, 39, 26, 36, 44, 43, 39, 46, 48, 43, 39, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 48, 40, 33, 36, 34, 45, 48, 50, 38, 51, 45, 33, 36, 30, 43, 39, 63, 45, 43, 38, 43, 35, 31, 38, 47, 34, 45, 38, 37, 45, 38, 42, 48, 40, 36, 38, 37, 41
519, 47, 37, 35, 55, 45, 44, 40, 56, 24, 41, 40, 23, 35, 40, 29, 39, 39, 27, 36, 44, 44, 39, 46, 48, 43, 39, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 48, 40, 33, 36, 34, 45, 48, 50, 38, 51, 45, 33, 36, 30, 43, 39, 63, 45, 43, 38, 43, 35, 31, 38, 47, 34, 45, 38, 37, 45, 38, 43, 48, 40, 36, 38, 37, 42
520, 47, 37, 35, 55, 45, 44, 40, 57, 24, 41, 40, 23, 35, 40, 29, 39, 39, 27, 36, 44, 44, 39, 46, 48, 43, 39, 38, 34, 55, 43, 44, 40, 32, 36, 50, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 48, 51, 38, 51, 45, 33, 36, 30, 43, 39, 63, 45, 43, 38, 43, 35, 31, 38, 47, 35, 45, 38, 37, 45, 38, 43, 48, 40, 36, 38, 37, 42
521, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 40, 23, 35, 40, 29, 39, 39, 27, 36, 44, 45, 40, 46, 48, 43, 39, 38, 34, 55, 43, 44, 40, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 49, 51, 38, 51, 45, 34, 36, 30, 43, 39, 63, 45, 43, 38, 43, 35, 31, 38, 47, 35, 45, 38, 37, 45, 38, 43, 48, 40, 36, 38, 37, 42
522, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 40, 23, 35, 40, 29, 40, 39, 27, 36, 44, 45, 40, 46, 49, 43, 39, 39, 34, 55, 43, 44, 40, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 49, 51, 38, 51, 45, 35, 36, 30, 43, 39, 63, 45, 43, 38, 43, 35, 32, 38, 47, 35, 45, 38, 38, 45, 38, 43, 48, 40, 36, 38, 37, 42
523, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 40, 23, 36, 40, 29, 40, 39, 27, 36, 44, 45, 40, 46, 49, 43, 39, 39, 34, 55, 43, 44, 40, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 49, 51, 39, 51, 45, 35, 36, 30, 43, 39, 63, 46, 43, 38, 43, 35, 32, 38, 47, 35, 45, 38, 38, 45, 38, 43, 48, 40, 36, 38, 37, 42
524, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 40, 23, 37, 40, 29, 40, 39, 27, 36, 44, 45, 40, 46, 49, 43, 39, 39, 35, 55, 44, 45, 40, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 49, 51, 39, 51, 45, 35, 36, 30, 43, 39, 63, 46, 43, 38, 43, 35, 32, 38, 47, 35, 45, 38, 38, 45, 38, 43, 48, 40, 36, 38, 37, 42
525, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 41, 23, 37, 40, 29, 41, 39, 27, 36, 44, 45, 40, 46, 49, 43, 39, 39, 35, 55, 44, 45, 41, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 45, 49, 51, 39, 51, 45, 35, 36, 30, 43, 39, 63, 46, 43, 38, 43, 35, 32, 39, 48, 35, 45, 38, 38, 45, 38, 43, 49, 40, 36, 38, 37, 42
526, 47, 37, 35, 55, 45, 44, 40, 58, 24, 41, 41, 24, 37, 40, 29, 41, 39, 28, 36, 44, 45, 40, 47, 49, 43, 39, 39, 35, 56, 44, 45, 41, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 46, 49, 51, 39, 51, 45, 36, 36, 30, 44, 39, 63, 46, 43, 38, 43, 35, 32, 39, 48, 35, 45, 38, 38, 45, 38, 43, 49, 40, 36, 38, 37, 42
527, 47, 37, 35, 55, 45, 44, 41, 58, 24, 41, 41, 24, 37, 40, 29, 42, 39, 28, 36, 44, 46, 40, 47, 50, 43, 39, 39, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 32, 45, 35, 36, 49, 40, 33, 36, 34, 46, 49, 51, 39, 51, 45, 36, 36, 30, 44, 39, 63, 46, 43, 38, 43, 35, 32, 40, 48, 35, 45, 38, 38, 45, 38, 43, 49, 40, 36, 38, 37, 42
528, 47, 37, 35, 55, 45, 44, 41, 58, 24, 41, 41, 24, 37, 40, 29, 43, 40, 28, 36, 44, 46, 41, 47, 50, 43, 39, 39, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 32, 45, 35, 37, 50, 40, 33, 36, 34, 46, 49, 51, 39, 51, 45, 36, 36, 30, 44, 39, 63, 46, 43, 38, 43, 35, 33, 40, 48, 35, 45, 38, 38, 45, 38, 43, 49, 40, 36, 38, 37, 42
529, 47, 37, 35, 55, 45, 44, 41, 58, 24, 41, 41, 24, 37, 40, 29, 43, 40, 28, 36, 44, 46, 41, 47, 50, 43, 39, 40, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 37, 50, 41, 33, 36, 34, 46, 49, 51, 39, 51, 45, 36, 36, 31, 44, 39, 63, 46, 43, 38, 43, 35, 33, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
530, 47, 37, 35, 55, 45, 44, 41, 58, 24, 42, 41, 25, 37, 40, 29, 43, 40, 28, 36, 44, 46, 41, 47, 50, 43, 39, 40, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 37, 50, 42, 33, 36, 34, 46, 49, 51, 39, 51, 45, 36, 36, 31, 44, 39, 63, 46, 43, 39, 43, 35, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
531, 47, 37, 35, 55, 45, 44, 41, 58, 24, 42, 41, 25, 37, 40, 29, 43, 40, 28, 36, 44, 46, 41, 47, 50, 43, 39, 40, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 37, 50, 42, 33, 36, 36, 46, 49, 51, 39, 51, 45, 37, 36, 31, 44, 39, 63, 46, 43, 39, 43, 35, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
532, 47, 37, 35, 55, 45, 45, 41, 58, 24, 42, 41, 25, 37, 40, 29, 43, 40, 28, 36, 44, 46, 41, 47, 50, 43, 39, 40, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 37, 50, 42, 33, 36, 36, 46, 49, 51, 39, 51, 45, 38, 36, 31, 44, 39, 63, 46, 43, 39, 43, 35, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
533, 47, 37, 35, 55, 45, 45, 41, 58, 24, 42, 41, 25, 37, 40, 29, 43, 40, 29, 37, 44, 46, 41, 47, 50, 43, 39, 40, 35, 56, 44, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 37, 50, 42, 33, 36, 36, 46, 49, 51, 40, 51, 45, 38, 36, 31, 44, 39, 63, 46, 43, 39, 43, 36, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
534, 47, 37, 35, 55, 45, 45, 41, 58, 24, 43, 41, 25, 37, 40, 29, 43, 40, 29, 37, 44, 46, 42, 47, 50, 43, 39, 40, 35, 56, 45, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 38, 50, 42, 33, 36, 36, 46, 49, 51, 42, 51, 45, 38, 36, 32, 44, 39, 64, 46, 43, 39, 43, 37, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
535, 47, 37, 35, 55, 45, 45, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 44, 46, 43, 47, 50, 43, 39, 40, 35, 56, 45, 45, 42, 32, 36, 51, 44, 33, 35, 33, 45, 35, 38, 50, 42, 33, 36, 36, 46, 49, 51, 42, 51, 45, 38, 36, 32, 44, 39, 65, 46, 43, 39, 43, 37, 34, 40, 48, 35, 45, 38, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
536, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 44, 46, 43, 47, 50, 43, 39, 40, 35, 56, 45, 45, 42, 32, 36, 51, 45, 33, 35, 33, 45, 35, 38, 50, 42, 34, 36, 36, 46, 49, 52, 42, 51, 45, 38, 37, 32, 44, 39, 65, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 45, 38, 43, 49, 40, 36, 38, 37, 42
537, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 44, 46, 43, 47, 50, 43, 39, 40, 36, 56, 45, 45, 42, 32, 36, 51, 45, 33, 35, 34, 45, 35, 38, 50, 43, 34, 36, 36, 46, 49, 52, 42, 51, 45, 38, 38, 32, 44, 39, 65, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 46, 38, 43, 49, 40, 36, 38, 37, 42
538, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 44, 46, 43, 47, 50, 43, 39, 40, 36, 56, 45, 46, 42, 32, 36, 51, 45, 33, 35, 34, 46, 35, 38, 50, 43, 34, 36, 36, 46, 49, 52, 42, 51, 45, 38, 38, 32, 44, 39, 65, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 46, 38, 43, 49, 40, 36, 38, 37, 42
539, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 40, 36, 56, 45, 46, 42, 32, 36, 51, 45, 33, 35, 34, 46, 35, 38, 50, 43, 34, 36, 36, 46, 49, 52, 42, 51, 45, 38, 38, 32, 44, 39, 66, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 46, 38, 43, 49, 40, 36, 38, 37, 42
540, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 40, 36, 56, 45, 46, 42, 32, 36, 51, 45, 33, 35, 34, 46, 35, 38, 50, 43, 34, 36, 36, 46, 49, 52, 42, 51, 45, 39, 39, 32, 44, 39, 66, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 47, 38, 43, 49, 40, 36, 38, 37, 42
541, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 40, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 36, 38, 50, 43, 34, 36, 36, 46, 49, 52, 42, 51, 45, 39, 39, 32, 44, 39, 66, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 47, 38, 43, 49, 40, 36, 38, 37, 42
542, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 43, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 43, 51, 45, 39, 39, 32, 44, 39, 66, 46, 43, 39, 43, 39, 34, 40, 48, 35, 45, 39, 39, 47, 38, 43, 49, 40, 36, 38, 37, 42
543, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 43, 51, 45, 39, 39, 32, 44, 39, 66, 46, 43, 39, 43, 40, 34, 40, 48, 35, 45, 39, 39, 47, 38, 43, 49, 40, 36, 38, 37, 42
544, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 43, 51, 45, 39, 40, 32, 44, 39, 66, 46, 43, 39, 43, 40, 34, 40, 48, 35, 45, 39, 39, 48, 39, 43, 49, 40, 36, 38, 37, 42
545, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 40, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 43, 51, 45, 39, 40, 32, 44, 39, 66, 46, 43, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
546, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 41, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 43, 51, 45, 39, 40, 32, 44, 39, 66, 46, 44, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
547, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 41, 29, 37, 46, 46, 43, 47, 50, 43, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 49, 52, 44, 51, 45, 39, 40, 32, 44, 39, 66, 46, 44, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
548, 47, 37, 35, 55, 45, 46, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 41, 29, 38, 46, 46, 43, 47, 50, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 50, 52, 44, 51, 45, 39, 40, 32, 44, 39, 66, 46, 44, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
549, 47, 37, 35, 55, 45, 47, 41, 58, 24, 43, 41, 26, 37, 40, 29, 44, 41, 29, 38, 46, 46, 43, 47, 50, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 50, 52, 44, 51, 45, 39, 40, 32, 44, 39, 66, 46, 44, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
550, 47, 37, 35, 55, 47, 47, 41, 58, 24, 43, 42, 26, 37, 40, 29, 44, 41, 29, 38, 46, 47, 43, 47, 50, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 50, 52, 44, 51, 45, 40, 41, 32, 44, 39, 66, 48, 44, 39, 43, 40, 34, 41, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
551, 47, 37, 35, 55, 47, 47, 41, 58, 24, 43, 42, 26, 37, 40, 29, 44, 41, 29, 38, 46, 47, 43, 47, 52, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 51, 52, 44, 51, 45, 40, 41, 32, 44, 39, 66, 49, 44, 39, 43, 40, 34, 42, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
552, 47, 37, 35, 55, 47, 47, 41, 58, 24, 43, 42, 26, 37, 40, 29, 44, 42, 29, 38, 46, 47, 43, 47, 52, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 45, 33, 35, 34, 46, 37, 38, 50, 43, 34, 36, 36, 46, 52, 52, 44, 51, 45, 40, 41, 32, 44, 39, 67, 49, 44, 39, 43, 40, 34, 42, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
553, 47, 37, 35, 55, 47, 47, 41, 58, 24, 43, 42, 26, 37, 40, 29, 44, 42, 29, 38, 46, 47, 44, 47, 52, 44, 39, 41, 36, 56, 46, 46, 42, 32, 37, 51, 46, 34, 35, 34, 46, 37, 38, 50, 44, 34, 36, 36, 46, 55, 52, 44, 51, 45, 41, 41, 32, 44, 39, 67, 49, 44, 39, 43, 40, 34, 42, 48, 35, 45, 39, 39, 49, 39, 43, 49, 40, 36, 38, 37, 42
